"userid","version","sum_gamerounds","retention_1","retention_7","purch"
26083,"gate_30",100,"TRUE",TRUE,105.81
27849,"gate_40",61,"TRUE",FALSE,163.13
33639,"gate_40",45,"TRUE",FALSE,2.29
45698,"gate_30",452,"TRUE",TRUE,419.66
52100,"gate_40",55,"TRUE",FALSE,4.58
67190,"gate_40",15,"FALSE",FALSE,21.99
69050,"gate_30",20,"TRUE",FALSE,2.29
69392,"gate_30",46,"FALSE",FALSE,15.57
77644,"gate_30",15,"FALSE",FALSE,10.99
99912,"gate_40",27,"TRUE",FALSE,2.29
104999,"gate_40",258,"FALSE",TRUE,240.08
124379,"gate_40",124,"FALSE",TRUE,72.82
141163,"gate_30",44,"TRUE",FALSE,2.29
154381,"gate_40",18,"TRUE",FALSE,2.29
156370,"gate_30",12,"FALSE",TRUE,54.99
159871,"gate_40",141,"TRUE",FALSE,114.53
173708,"gate_40",288,"TRUE",TRUE,174.09
179551,"gate_40",14,"TRUE",FALSE,10.99
185368,"gate_30",52,"FALSE",FALSE,15.57
189098,"gate_30",35,"TRUE",FALSE,21.98
189970,"gate_40",104,"TRUE",FALSE,48.55
222583,"gate_30",24,"FALSE",FALSE,32.98
228723,"gate_40",299,"TRUE",TRUE,114.96
229957,"gate_40",78,"FALSE",TRUE,21.99
231622,"gate_40",90,"TRUE",FALSE,20.15
236837,"gate_30",24,"FALSE",FALSE,6.87
268946,"gate_40",387,"TRUE",TRUE,264.76
269182,"gate_30",312,"TRUE",TRUE,58.17
277023,"gate_40",68,"FALSE",FALSE,35.27
299533,"gate_30",14,"FALSE",FALSE,2.29
303959,"gate_30",12,"FALSE",FALSE,120.98
306691,"gate_40",11,"TRUE",FALSE,2.29
315950,"gate_40",116,"TRUE",FALSE,134.24
317884,"gate_40",165,"TRUE",TRUE,88.41
331668,"gate_30",14,"FALSE",FALSE,15.57
350455,"gate_30",14,"TRUE",FALSE,10.99
351583,"gate_30",28,"FALSE",TRUE,2.29
369076,"gate_40",66,"TRUE",FALSE,61.83
374188,"gate_40",14,"FALSE",FALSE,2.29
380690,"gate_40",26,"TRUE",TRUE,21.98
384453,"gate_40",52,"TRUE",FALSE,32.98
386608,"gate_30",107,"TRUE",TRUE,147.54
401693,"gate_40",118,"TRUE",FALSE,15.57
417699,"gate_40",180,"TRUE",TRUE,213.53
423265,"gate_40",78,"TRUE",FALSE,10.99
424474,"gate_40",30,"FALSE",TRUE,10.99
435493,"gate_30",244,"TRUE",TRUE,264.37
443985,"gate_30",38,"TRUE",TRUE,13.28
449998,"gate_40",19,"TRUE",TRUE,2.29
450934,"gate_40",10,"TRUE",FALSE,2.29
452833,"gate_30",60,"TRUE",FALSE,37.56
463347,"gate_30",59,"FALSE",TRUE,10.99
474240,"gate_30",349,"TRUE",TRUE,81.98
495051,"gate_30",357,"TRUE",FALSE,154.85
517243,"gate_30",48,"TRUE",TRUE,68.26
526419,"gate_30",38,"TRUE",TRUE,13.28
531402,"gate_40",32,"FALSE",FALSE,2.29
531816,"gate_30",20,"TRUE",FALSE,2.29
536008,"gate_30",14,"FALSE",FALSE,21.99
542871,"gate_30",81,"TRUE",TRUE,131.98
550581,"gate_40",287,"TRUE",TRUE,407.76
563157,"gate_40",29,"TRUE",FALSE,17.86
563277,"gate_30",47,"TRUE",TRUE,26.57
613782,"gate_40",167,"TRUE",TRUE,35.73
626857,"gate_30",46,"FALSE",TRUE,26.57
633072,"gate_40",167,"TRUE",FALSE,101.23
641545,"gate_40",74,"FALSE",TRUE,83.84
643015,"gate_40",227,"TRUE",FALSE,110.84
644908,"gate_40",18,"FALSE",FALSE,4.58
651520,"gate_40",12,"FALSE",FALSE,2.29
661090,"gate_40",15,"FALSE",FALSE,2.29
679368,"gate_40",36,"FALSE",FALSE,24.27
679586,"gate_30",14,"FALSE",FALSE,43.98
680376,"gate_30",110,"TRUE",TRUE,15.57
691288,"gate_30",560,"TRUE",TRUE,220.78
707895,"gate_30",39,"FALSE",FALSE,15.57
711350,"gate_30",15,"FALSE",FALSE,2.29
712509,"gate_30",55,"TRUE",TRUE,2.29
720198,"gate_30",147,"FALSE",TRUE,26.57
722652,"gate_40",50,"TRUE",FALSE,2.29
741857,"gate_40",20,"TRUE",FALSE,4.58
759915,"gate_30",43,"TRUE",TRUE,109.96
791296,"gate_30",24,"TRUE",TRUE,24.28
807046,"gate_40",3,"FALSE",FALSE,2.29
829861,"gate_40",106,"TRUE",FALSE,125.53
832227,"gate_40",51,"TRUE",TRUE,15.57
832680,"gate_30",35,"TRUE",FALSE,123.27
844618,"gate_30",66,"TRUE",FALSE,31.15
856690,"gate_30",271,"FALSE",TRUE,376.66
860227,"gate_40",60,"TRUE",FALSE,13.28
864953,"gate_30",426,"TRUE",FALSE,271.64
867686,"gate_30",80,"FALSE",FALSE,79.27
869618,"gate_30",185,"TRUE",FALSE,125.5
895411,"gate_30",66,"TRUE",FALSE,46.27
909339,"gate_30",105,"TRUE",FALSE,158.54
932664,"gate_30",34,"TRUE",FALSE,2.29
953269,"gate_30",34,"TRUE",FALSE,2.29
966055,"gate_40",23,"TRUE",TRUE,59.57
968420,"gate_30",21,"FALSE",FALSE,120.98
976971,"gate_40",7,"FALSE",FALSE,54.97
984436,"gate_40",196,"TRUE",TRUE,105.83
1011310,"gate_30",134,"TRUE",TRUE,81.52
1012049,"gate_30",74,"TRUE",FALSE,79.27
1016229,"gate_30",38,"TRUE",TRUE,13.28
1020221,"gate_30",107,"TRUE",TRUE,15.57
1026794,"gate_40",34,"TRUE",FALSE,24.28
1029645,"gate_40",51,"TRUE",FALSE,145.26
1036079,"gate_40",16,"FALSE",FALSE,2.29
1038931,"gate_30",7,"TRUE",FALSE,2.29
1045169,"gate_40",162,"TRUE",TRUE,138.79
1049758,"gate_40",29,"FALSE",FALSE,24.27
1050309,"gate_40",25,"FALSE",TRUE,26.57
1056410,"gate_40",149,"FALSE",TRUE,39.84
1065114,"gate_30",9,"FALSE",FALSE,10.99
1070450,"gate_30",41,"TRUE",FALSE,2.29
1071128,"gate_30",1063,"TRUE",TRUE,375.6
1071184,"gate_30",63,"TRUE",TRUE,46.26
1076972,"gate_30",15,"TRUE",FALSE,2.29
1083375,"gate_40",5,"FALSE",FALSE,21.99
1086634,"gate_30",293,"TRUE",FALSE,119.54
1095490,"gate_40",32,"FALSE",FALSE,59.57
1109197,"gate_40",74,"TRUE",FALSE,2.29
1113327,"gate_40",37,"FALSE",FALSE,10.99
1117143,"gate_40",170,"TRUE",TRUE,178.67
1117277,"gate_40",3,"FALSE",FALSE,2.29
1127729,"gate_40",63,"TRUE",FALSE,180.52
1133249,"gate_40",96,"TRUE",FALSE,103.54
1137518,"gate_40",35,"FALSE",FALSE,10.99
1139929,"gate_30",46,"TRUE",FALSE,6.87
1141788,"gate_40",258,"TRUE",TRUE,169.92
1177780,"gate_30",35,"TRUE",TRUE,28.86
1190720,"gate_30",163,"TRUE",FALSE,174.1
1197089,"gate_30",90,"TRUE",TRUE,35.27
1198496,"gate_40",104,"TRUE",TRUE,114.57
1203613,"gate_40",21,"FALSE",FALSE,24.28
1218527,"gate_40",58,"TRUE",TRUE,43.97
1221727,"gate_40",11,"FALSE",FALSE,32.98
1227615,"gate_40",12,"FALSE",FALSE,24.28
1232741,"gate_30",163,"TRUE",TRUE,127.8
1233033,"gate_40",38,"TRUE",FALSE,65.98
1234582,"gate_40",28,"TRUE",TRUE,164.98
1250389,"gate_30",34,"TRUE",FALSE,123.27
1259932,"gate_40",180,"TRUE",TRUE,369.75
1271121,"gate_30",183,"TRUE",TRUE,13.28
1294723,"gate_30",13,"FALSE",TRUE,2.29
1298002,"gate_30",21,"TRUE",FALSE,10.99
1345559,"gate_40",63,"TRUE",TRUE,6.87
1351152,"gate_40",20,"TRUE",FALSE,26.57
1363026,"gate_40",303,"TRUE",TRUE,227.24
1381459,"gate_40",913,"TRUE",TRUE,578.17
1384736,"gate_40",29,"TRUE",FALSE,35.27
1395578,"gate_30",45,"FALSE",FALSE,4.58
1397658,"gate_40",176,"TRUE",FALSE,88.42
1407999,"gate_30",28,"TRUE",FALSE,2.29
1425691,"gate_30",74,"FALSE",FALSE,83.85
1429389,"gate_30",59,"TRUE",FALSE,21.99
1433068,"gate_30",109,"TRUE",FALSE,15.57
1459061,"gate_30",18,"FALSE",FALSE,2.29
1461749,"gate_40",41,"FALSE",FALSE,68.25
1495670,"gate_30",309,"TRUE",TRUE,354.6
1504897,"gate_30",14,"FALSE",FALSE,2.29
1516988,"gate_40",8,"TRUE",FALSE,2.29
1519717,"gate_30",58,"TRUE",TRUE,43.98
1528451,"gate_30",28,"TRUE",FALSE,21.98
1531587,"gate_30",57,"TRUE",FALSE,2.29
1557018,"gate_30",553,"TRUE",TRUE,535.15
1558187,"gate_30",110,"TRUE",TRUE,72.83
1559632,"gate_30",177,"TRUE",TRUE,79.7
1563007,"gate_40",97,"FALSE",TRUE,79.26
1573361,"gate_30",11,"TRUE",FALSE,10.99
1577388,"gate_40",8,"FALSE",FALSE,10.99
1581907,"gate_30",18,"FALSE",TRUE,32.98
1587019,"gate_30",29,"TRUE",FALSE,26.57
1606123,"gate_30",37,"TRUE",TRUE,76.98
1615404,"gate_30",18,"FALSE",FALSE,2.29
1625192,"gate_30",260,"TRUE",TRUE,213.97
1625516,"gate_40",66,"FALSE",FALSE,13.28
1644294,"gate_40",11,"TRUE",FALSE,10.99
1664788,"gate_30",95,"TRUE",TRUE,15.57
1672017,"gate_30",43,"FALSE",FALSE,10.99
1682200,"gate_40",15,"TRUE",FALSE,21.99
1698475,"gate_40",82,"FALSE",FALSE,83.84
1714732,"gate_30",38,"TRUE",TRUE,10.99
1744280,"gate_40",141,"TRUE",FALSE,130.1
1749700,"gate_30",57,"TRUE",TRUE,6.87
1755896,"gate_40",8,"FALSE",FALSE,10.99
1760265,"gate_30",120,"TRUE",TRUE,24.27
1763807,"gate_30",197,"TRUE",TRUE,211.24
1771450,"gate_30",69,"FALSE",FALSE,35.27
1778625,"gate_40",14,"TRUE",FALSE,57.28
1781985,"gate_30",420,"TRUE",TRUE,253.81
1806232,"gate_30",125,"TRUE",TRUE,43.97
1844827,"gate_40",73,"TRUE",TRUE,6.87
1857845,"gate_30",89,"TRUE",TRUE,26.57
1860969,"gate_40",5,"FALSE",FALSE,2.29
1904622,"gate_30",87,"TRUE",TRUE,114.54
1912380,"gate_30",82,"TRUE",FALSE,114.57
1921188,"gate_40",11,"FALSE",TRUE,54.99
1932422,"gate_30",47,"TRUE",FALSE,24.27
1963889,"gate_30",55,"FALSE",FALSE,13.28
1989293,"gate_40",31,"FALSE",FALSE,2.29
2014550,"gate_40",66,"TRUE",FALSE,112.27
2015533,"gate_30",20,"FALSE",FALSE,2.29
2021793,"gate_30",39,"TRUE",FALSE,10.99
2050235,"gate_30",21,"TRUE",FALSE,2.29
2057414,"gate_30",34,"TRUE",FALSE,21.99
2059970,"gate_30",16,"FALSE",FALSE,65.98
2063988,"gate_40",120,"TRUE",TRUE,21.98
2098970,"gate_30",275,"TRUE",TRUE,64.12
2105277,"gate_30",205,"TRUE",TRUE,167.65
2107306,"gate_40",25,"FALSE",FALSE,24.28
2109502,"gate_30",22,"TRUE",FALSE,15.57
2116859,"gate_30",17,"FALSE",TRUE,2.29
2123028,"gate_30",34,"TRUE",TRUE,35.27
2123404,"gate_40",15,"FALSE",TRUE,21.98
2125525,"gate_40",44,"TRUE",FALSE,6.87
2150877,"gate_30",61,"TRUE",TRUE,24.27
2153506,"gate_40",4,"FALSE",FALSE,2.29
2179492,"gate_40",49,"TRUE",TRUE,2.29
2196413,"gate_40",332,"TRUE",TRUE,427.52
2218497,"gate_40",114,"TRUE",FALSE,48.56
2220466,"gate_40",4,"FALSE",FALSE,21.99
2234523,"gate_30",41,"TRUE",TRUE,2.29
2239977,"gate_40",88,"FALSE",FALSE,32.98
2259220,"gate_30",154,"TRUE",TRUE,207.11
2266834,"gate_40",20,"FALSE",FALSE,21.99
2272031,"gate_40",22,"FALSE",FALSE,21.98
2279849,"gate_40",62,"TRUE",TRUE,48.55
2282860,"gate_40",26,"FALSE",FALSE,10.99
2288156,"gate_30",138,"TRUE",TRUE,70.53
2290721,"gate_30",24,"FALSE",FALSE,21.99
2295182,"gate_30",37,"TRUE",TRUE,10.99
2315481,"gate_30",609,"TRUE",TRUE,628.14
2332395,"gate_30",262,"TRUE",TRUE,101.69
2333523,"gate_30",16,"TRUE",FALSE,101.26
2342520,"gate_30",15,"TRUE",FALSE,2.29
2349123,"gate_40",5,"FALSE",FALSE,10.99
2356078,"gate_30",341,"FALSE",TRUE,249.69
2364021,"gate_30",31,"TRUE",TRUE,4.58
2369094,"gate_30",4,"FALSE",FALSE,2.29
2382641,"gate_40",162,"TRUE",FALSE,81.53
2441819,"gate_40",51,"FALSE",TRUE,134.27
2445621,"gate_30",69,"TRUE",FALSE,61.83
2496368,"gate_40",167,"TRUE",TRUE,75.14
2502130,"gate_30",23,"FALSE",FALSE,2.29
2517168,"gate_30",29,"TRUE",TRUE,2.29
2526170,"gate_40",139,"TRUE",TRUE,224.52
2554373,"gate_30",18,"FALSE",FALSE,13.28
2560167,"gate_30",8,"FALSE",FALSE,10.99
2560575,"gate_40",287,"TRUE",TRUE,231.38
2563451,"gate_30",45,"TRUE",FALSE,21.99
2577252,"gate_30",49,"TRUE",FALSE,10.99
2577655,"gate_30",21,"TRUE",FALSE,15.57
2579169,"gate_30",153,"TRUE",TRUE,189.23
2585437,"gate_40",6,"FALSE",FALSE,2.29
2591909,"gate_40",21,"TRUE",FALSE,21.99
2592309,"gate_40",149,"TRUE",TRUE,61.84
2600726,"gate_40",117,"TRUE",FALSE,11.45
2648347,"gate_30",15,"TRUE",FALSE,131.98
2670552,"gate_40",71,"TRUE",FALSE,26.56
2678832,"gate_30",4,"FALSE",FALSE,2.29
2723624,"gate_30",48,"FALSE",TRUE,13.28
2734372,"gate_40",213,"TRUE",TRUE,92.55
2735507,"gate_40",218,"TRUE",TRUE,134.67
2746054,"gate_40",200,"TRUE",TRUE,191.94
2749949,"gate_40",511,"TRUE",TRUE,594.72
2750174,"gate_40",223,"TRUE",TRUE,66.42
2752038,"gate_30",30,"FALSE",FALSE,24.28
2774926,"gate_40",55,"FALSE",FALSE,28.85
2778534,"gate_40",16,"TRUE",FALSE,4.58
2779523,"gate_40",82,"TRUE",TRUE,46.27
2780970,"gate_40",12,"FALSE",FALSE,2.29
2801559,"gate_30",128,"FALSE",TRUE,152.1
2817782,"gate_40",191,"FALSE",TRUE,114.97
2824911,"gate_40",162,"TRUE",FALSE,71.02
2845023,"gate_30",57,"FALSE",TRUE,103.55
2897068,"gate_40",47,"TRUE",FALSE,15.57
2901718,"gate_40",52,"FALSE",TRUE,26.56
2910672,"gate_30",34,"TRUE",FALSE,10.99
2911012,"gate_30",16,"TRUE",FALSE,13.28
2916417,"gate_40",77,"FALSE",FALSE,112.28
2926931,"gate_30",16,"TRUE",FALSE,10.99
2935054,"gate_40",5,"FALSE",FALSE,10.99
2942276,"gate_30",41,"TRUE",FALSE,21.99
2946210,"gate_30",68,"TRUE",FALSE,24.28
2947185,"gate_40",147,"TRUE",TRUE,120.98
2950684,"gate_40",56,"TRUE",TRUE,2.29
2959161,"gate_40",71,"TRUE",FALSE,46.26
2976635,"gate_30",161,"TRUE",TRUE,110.39
2985241,"gate_30",5,"FALSE",FALSE,10.99
2994433,"gate_30",108,"TRUE",FALSE,54.96
2995963,"gate_30",36,"TRUE",FALSE,15.57
3007160,"gate_30",55,"TRUE",FALSE,2.29
3011660,"gate_30",96,"TRUE",FALSE,10.99
3022494,"gate_30",70,"FALSE",TRUE,35.27
3023236,"gate_40",535,"TRUE",TRUE,364.18
3026299,"gate_30",5,"FALSE",FALSE,65.98
3033525,"gate_40",13,"FALSE",FALSE,21.99
3054530,"gate_40",57,"TRUE",FALSE,28.85
3057290,"gate_30",60,"TRUE",FALSE,15.57
3059600,"gate_30",12,"FALSE",FALSE,2.29
3080597,"gate_30",53,"TRUE",TRUE,191.54
3081298,"gate_30",4,"FALSE",FALSE,2.29
3082623,"gate_30",458,"TRUE",TRUE,213.91
3112789,"gate_30",229,"TRUE",TRUE,345.51
3113630,"gate_30",39,"TRUE",FALSE,15.57
3118622,"gate_40",25,"FALSE",FALSE,2.29
3162124,"gate_40",32,"TRUE",FALSE,54.99
3162635,"gate_40",40,"TRUE",FALSE,24.28
3169757,"gate_40",17,"TRUE",FALSE,2.29
3173200,"gate_30",47,"TRUE",TRUE,10.99
3185587,"gate_40",214,"TRUE",FALSE,134.69
3195119,"gate_30",5,"FALSE",FALSE,2.29
3206340,"gate_40",35,"FALSE",FALSE,15.57
3225609,"gate_40",162,"TRUE",FALSE,46.72
3229296,"gate_30",68,"TRUE",TRUE,48.55
3229826,"gate_30",23,"FALSE",FALSE,13.28
3232380,"gate_30",36,"FALSE",FALSE,2.29
3235704,"gate_40",23,"FALSE",FALSE,15.57
3237174,"gate_40",463,"TRUE",TRUE,449.93
3239701,"gate_30",370,"TRUE",TRUE,339.5
3250309,"gate_30",20,"TRUE",FALSE,2.29
3275319,"gate_40",77,"FALSE",FALSE,178.24
3295090,"gate_40",11,"FALSE",FALSE,21.99
3297622,"gate_30",130,"TRUE",FALSE,64.13
3325029,"gate_30",157,"TRUE",TRUE,68.71
3332752,"gate_40",451,"TRUE",TRUE,169.98
3342019,"gate_40",24,"FALSE",FALSE,26.56
3383172,"gate_30",14,"FALSE",FALSE,13.28
3395190,"gate_30",14,"FALSE",FALSE,10.99
3407388,"gate_40",43,"FALSE",FALSE,2.29
3407964,"gate_30",106,"TRUE",TRUE,72.84
3425367,"gate_40",40,"TRUE",FALSE,35.27
3428596,"gate_40",42,"TRUE",TRUE,21.99
3441096,"gate_40",17,"TRUE",FALSE,2.29
3456367,"gate_40",50,"TRUE",FALSE,68.27
3456875,"gate_30",3,"FALSE",FALSE,2.29
3459407,"gate_30",225,"FALSE",TRUE,55.42
3464635,"gate_30",79,"TRUE",FALSE,130.14
3486585,"gate_40",44,"TRUE",FALSE,142.97
3501221,"gate_40",167,"TRUE",TRUE,86.56
3502357,"gate_30",15,"FALSE",FALSE,21.99
3507782,"gate_40",71,"TRUE",TRUE,15.57
3516339,"gate_30",8,"TRUE",FALSE,10.99
3526341,"gate_30",23,"FALSE",FALSE,2.29
3530801,"gate_30",33,"TRUE",FALSE,13.28
3536465,"gate_40",547,"TRUE",TRUE,311.55
3558570,"gate_30",21,"TRUE",FALSE,2.29
3559799,"gate_40",90,"FALSE",TRUE,101.23
3581616,"gate_30",78,"TRUE",TRUE,46.26
3582835,"gate_40",40,"TRUE",TRUE,21.98
3593062,"gate_40",402,"TRUE",FALSE,366.03
3607444,"gate_30",250,"TRUE",TRUE,194.29
3612433,"gate_40",301,"TRUE",TRUE,183.25
3613577,"gate_30",377,"TRUE",TRUE,207.02
3620036,"gate_40",3,"FALSE",FALSE,10.99
3629349,"gate_30",13,"FALSE",FALSE,10.99
3639991,"gate_30",179,"TRUE",TRUE,49.01
3645712,"gate_40",16,"FALSE",TRUE,2.29
3646010,"gate_40",118,"FALSE",TRUE,64.13
3657460,"gate_40",38,"TRUE",FALSE,24.27
3676535,"gate_40",5,"FALSE",FALSE,54.99
3690150,"gate_40",162,"TRUE",FALSE,38.01
3696741,"gate_40",7,"FALSE",FALSE,2.29
